"Time Block","Time","ALAKNANDA HYDRO POWER COMPANY Ltd. UPPCL DC/ Entitlement (MW)","ALAKNANDA HYDRO POWER COMPANY Ltd. UPPCL SG (MW)","Bajaj Energy Private Ltd Unit Berkhera UPPCL DC/ Entitlement (MW)","Bajaj Energy Private Ltd Unit Berkhera UPPCL SG (MW)","Bajaj Energy Private Ltd Unit Khambarkhera UPPCL DC/ Entitlement (MW)","Bajaj Energy Private Ltd Unit Khambarkhera UPPCL SG (MW)","Bajaj Energy Private Ltd Unit Kundarkhi UPPCL DC/ Entitlement (MW)","Bajaj Energy Private Ltd Unit Kundarkhi UPPCL SG (MW)","Bajaj Energy Private Ltd Unit Maqsoodapur UPPCL DC/ Entitlement (MW)","Bajaj Energy Private Ltd Unit Maqsoodapur UPPCL SG (MW)","Bajaj Energy Private Ltd Unit Utraula UPPCL DC/ Entitlement (MW)","Bajaj Energy Private Ltd Unit Utraula UPPCL SG (MW)","LALITPUR POWER GENERATION COMPANY LIMITED UPPCL DC/ Entitlement (MW)","LALITPUR POWER GENERATION COMPANY LIMITED UPPCL SG (MW)","MEIL ANPARA ENERGY LIMITED UPPCL DC/ Entitlement (MW)","MEIL ANPARA ENERGY LIMITED UPPCL SG (MW)","NUPPL firm power  UPPCL DC/ Entitlement (MW)","NUPPL firm power  UPPCL SG (MW)","Neyveli Uttar Pradesh Power Ltd GTPS UPPCL DC/ Entitlement (MW)","Neyveli Uttar Pradesh Power Ltd GTPS UPPCL SG (MW)","PRAYAGRAJ SUPERCRITICAL TPP BARA UPPCL DC/ Entitlement (MW)","PRAYAGRAJ SUPERCRITICAL TPP BARA UPPCL SG (MW)","ROSA-I UPPCL DC/ Entitlement (MW)","ROSA-I UPPCL SG (MW)","ROSA-II UPPCL DC/ Entitlement (MW)","ROSA-II UPPCL SG (MW)","TANDA UPPCL DC/ Entitlement (MW)","TANDA UPPCL SG (MW)","VISHNU-PRAYAG UPPCL DC/ Entitlement (MW)","VISHNU-PRAYAG UPPCL SG (MW)","Total Total UPPCL DC/ Entitlement(MW)","Total Total UPPCL SG(MW)"
"1","00:00-00:15","0","0","81.22","44.68","81.22","44.68","81.22","44.68","81.22","44.68","81.22","44.68","1856.25","1020.93","1017.5","684.3","582.33","NA","0","0","978","619.92","549","301.96","549","301.96","0","0","58","58","5996.2","3210.5"
"2","00:15-00:30","0","0","81.22","44.68","81.22","44.68","81.22","44.68","81.22","44.68","81.22","44.68","1856.25","1020.93","1017.5","517.7","582.33","NA","0","0","978","619.92","549","301.96","549","301.96","0","0","58","58","5996.2","3043.9"
"3","00:30-00:45","0","0","81.22","44.68","81.22","44.68","81.22","44.68","81.22","44.68","81.22","44.68","1856.25","1020.93","1017.5","513.28","582.33","NA","0","0","978","619.92","549","301.96","549","301.96","0","0","58","58","5996.2","3039.4"
"4","00:45-01:00","0","0","81.22","44.68","81.22","44.68","81.22","44.68","81.22","44.68","81.22","44.68","1856.25","1020.93","1017.5","513.28","582.33","NA","0","0","978","619.92","549","301.96","549","301.96","0","0","58","58","5996.2","3039.4"
"5","01:00-01:15","0","0","81.22","44.68","81.22","44.68","81.22","44.68","81.22","44.68","81.22","44.68","1856.25","1020.93","1017.5","513.28","582.33","NA","0","0","978","619.92","549","301.96","549","301.96","0","0","58","58","5996.2","3039.4"
"6","01:15-01:30","0","0","81.22","44.68","81.22","44.68","81.22","44.68","81.22","44.68","81.22","44.68","1856.25","1020.93","1017.5","513.28","582.33","NA","0","0","978","619.92","549","301.96","549","301.96","0","0","58","58","5996.2","3039.4"
"7","01:30-01:45","0","0","81.22","44.68","81.22","44.68","81.22","44.68","81.22","44.68","81.22","44.68","1856.25","1020.93","1017.5","513.28","582.33","NA","0","0","978","619.92","549","301.96","549","301.96","0","0","58","58","5996.2","3039.4"
"8","01:45-02:00","0","0","81.22","44.68","81.22","44.68","81.22","44.68","81.22","44.68","81.22","44.68","1856.25","1020.93","1017.5","513.28","582.33","NA","0","0","978","619.92","549","301.96","549","301.96","0","0","58","58","5996.2","3039.4"
"9","02:00-02:15","0","0","81.22","44.68","81.22","44.68","81.22","44.68","81.22","44.68","81.22","44.68","1856.25","1020.93","1017.5","513.28","582.33","NA","0","0","978","619.92","549","301.96","549","301.96","0","0","58","58","5996.2","3039.4"
"10","02:15-02:30","0","0","81.22","44.68","81.22","44.68","81.22","44.68","81.22","44.68","81.22","44.68","1856.25","1020.93","1017.5","513.28","582.33","NA","0","0","978","619.92","549","301.96","549","301.96","0","0","58","58","5996.2","3039.4"
